Item Name,Unit,Price,Quantity,Amount,Created
Apple Red Delicious,kg,205.56,18,3700.08,3-31-2023
Palak,kg,22,10,220,3-31-2023
Orange-Local,kg,95.92,24.5,2350.04,3-31-2023
Bitter Gourd,kg,70,10,700,3-31-2023
Lemon,kg,110,5,550,3-31-2023
Tendor Coconut,pc,47.5,60,2850,3-31-2023
Mini Orange,kg,180,12.5,2250,3-31-2023
Mango Alphanso 1Pc,pc,91.67,12,1100.04,3-31-2023
Tomato Himsona,kg,24,50,1200,3-31-2023
Apple Washington,kg,325,20,6500,3-31-2023
Round Gourd,kg,14.55,22,320.1,3-31-2023
Pineapple Rani,pc,95,10,950,3-31-2023
Jacks Fruit,kg,73.85,6.5,480.025,3-31-2023
Lotus Stem,kg,100,2,200,3-31-2023
Chappan Kaddu,kg,40,10,400,3-31-2023
THAI GUAVA PINK,kg,155,20,3100,3-31-2023
MANGO RAW,kg,76,5,380,3-31-2023
KAJRI MELON,kg,31.2,18.59,580.008,3-31-2023
Carrot,kg,36.67,15,550.05,4-1-2023
Green Peas,kg,65,10,650,4-1-2023
Broccoli,kg,48,5,240,4-1-2023
Ridge Gourd,kg,90,20,1800,4-1-2023
Avocado,pc,168.06,36,6050.16,4-1-2023
Papaya,kg,40,25,1000,4-1-2023
Chilli Green,kg,40,5,200,4-1-2023
Beans French,kg,50,5,250,4-1-2023
Potato,kg,6.86,204,1399.44,4-1-2023
Red Globe,kg,330.65,6.2,2050.03,4-1-2023
Mint,pkt,75,1,75,4-1-2023
Mushroom,box,30,35,1050,4-1-2023
Onion,kg,15,217,3255,4-1-2023
Peeled Garlic,kg,85,13,1105,4-1-2023
Parwal,kg,70,5,350,4-1-2023
Apple Granny Smith,kg,233.33,18,4199.94,4-1-2023
Water Melon Red,kg,18.75,32,600,4-1-2023
Bottle Gourd,kg,24,5,120,4-1-2023
Pomegranate,kg,134.53,22.3,3000.019,4-1-2023
Coriander,kg,30,3,90,4-1-2023
Carrot Delhi,kg,20,5,100,4-1-2023
Bhindi,kg,120,5,600,4-1-2023
Tinda,kg,100,10,1000,4-1-2023
Apple Chinese Fuji,kg,270,10,2700,4-1-2023
Ginger,kg,120,12,1440,4-1-2023
Mosambi,kg,54.4,19.3,1049.92,4-1-2023
Palak,kg,18.75,8,150,4-1-2023
Bitter Gourd,kg,70,5,350,4-1-2023
Lemon,kg,110,5,550,4-1-2023
Tendor Coconut,pc,45,40,1800,4-1-2023
Mango Safeda,kg,138.46,13,1799.98,4-1-2023
Mango Alphanso 1Pc,pc,91.67,6,550.02,4-1-2023
Tomato Himsona,kg,24,25,600,4-1-2023
Mango Hamam,kg,300,12,3600,4-1-2023
Grape Fruit,kg,178.34,15.7,2799.938,4-1-2023
Round Gourd,kg,24,5,120,4-1-2023
Kakdi,kg,50,5,250,4-1-2023
Blueberry Jumbo,box,179.17,12,2150.04,4-1-2023
Pineapple Rani,pc,90,10,900,4-1-2023
Pineapple Raja,pc,70.83,12,849.96,4-1-2023
Kiwi Local,pc,20,30,600,4-1-2023
Mango Perri,kg,180.33,6.1,1100.013,4-1-2023
Newzeeland Queen Apple,kg,238.89,18,4300.02,4-1-2023
Black Grapes,kg,107.53,9.3,1000.029,4-1-2023
Chappan Kaddu,kg,40,10,400,4-1-2023
THAI GUAVA PINK,kg,145,10,1450,4-1-2023
KAJRI MELON,kg,32.22,18,579.96,4-1-2023
Happy Banana,kg,62,30,1860,4-1-2023
Happy Banana,kg,62,15,930,4-1-2023
Dairy Naturals Cow Milk,pkt,31.5,4,126,4-1-2023
Doozy Cow Desi Ghee 500Ml,jar,480,4,1920,4-1-2023
Doozy Dahi,jar,43,6,258,4-1-2023
Doozy Desi Cow Milk,pkt,42.5,8,340,4-1-2023
Doozy Farms Paneer,pkt,75,12,900,4-1-2023
Dairy Naturals Cow Milk,pkt,31.5,6,189,4-1-2023
Doozy Desi Cow Milk,pkt,42.5,5,212.5,4-1-2023
Doozy Farms Paneer,pkt,75,6,450,4-1-2023
Epigamia Greek Yogurt Blueberry 90Gm,box,41.9,4,196.09,4-1-2023
Epigamia Greek Yogurt Mango 90Gm,box,41.9,6,263.97,4-1-2023
Epigamia Greek Yogurt Natural,box,167.62,6,1056.01,4-1-2023
Epigamia Greek Yogurt Natural 90Gms,box,41.9,6,263.97,4-1-2023
Epigamia Greek Yogurt Smoothie Blueberry,btl,60.95,6,383.99,4-1-2023
Epigamia Greek Yogurt Strawberry 90Gm,box,41.9,6,263.97,4-1-2023
Epigamia Wild Raspberry 90Gms,box,41.9,4,175.98,4-1-2023
Sapota,kg,66.67,18,1200.06,4-2-2023
Carrot,kg,35,10,350,4-2-2023
Green Peas,kg,70,20,1400,4-2-2023
Broccoli,kg,50,15,750,4-2-2023
Ridge Gourd,kg,84,5,420,4-2-2023
Avocado,pc,179.38,32,5740.16,4-2-2023
Papaya,kg,40,25,1000,4-2-2023
Apple Royal Gala,kg,211.11,18,3799.98,4-2-2023
Chilli Green,kg,60,5,300,4-2-2023
Beans French,kg,50,12,600,4-2-2023
Brinjal Black Big,kg,25,10,250,4-2-2023
Brinjal Black Round,kg,28,10,280,4-2-2023
Sweet Potato,kg,80,10,800,4-2-2023
Cauliflower,kg,12,10,120,4-2-2023
Mint,pkt,75,4,300,4-2-2023
Dragon Fruit,pc,72.5,20,1450,4-2-2023
Mushroom,box,31.43,35,1100.05,4-2-2023
Thomson Grapes,kg,101.06,9.4,949.964,4-2-2023
Spring Onion,kg,35,2,70,4-2-2023
Capsicum Green,kg,38,20,760,4-2-2023
Apple Pink Lady,kg,190,20,3800,4-2-2023
Radish White,kg,25,20,500,4-2-2023
Parwal,kg,70,5,350,4-2-2023
Cucumber White,kg,30,30,900,4-2-2023
Beet Root,kg,22,10,220,4-2-2023
Onion White,kg,90,5,450,4-2-2023
Water Melon Red,kg,15.75,80,1260,4-2-2023
Bottle Gourd,kg,28,10,280,4-2-2023
Pomegranate,kg,141.03,23.4,3300.102,4-2-2023
Kiwi Imported Zespri Green,box,158.33,6,949.98,4-2-2023
Coriander,kg,30,6,180,4-2-2023
Carrot Delhi,kg,20,5,100,4-2-2023
Bhindi,kg,120,15,1800,4-2-2023
Tinda,kg,100,5,500,4-2-2023
Apple Chinese Fuji,kg,275,20,5500,4-2-2023
Pumpkin,kg,14,10,140,4-2-2023
Zucchini Green,kg,30,5,150,4-2-2023
Palak,kg,20,20,400,4-2-2023
Garlic,kg,120,10,1200,4-2-2023
Orange-Local,kg,94.7,26.4,2500.08,4-2-2023
Bitter Gourd,kg,70,10,700,4-2-2023
Lemon,kg,120,10,1200,4-2-2023
Tendor Coconut,pc,45,80,3600,4-2-2023
Mini Orange,kg,181.45,12.4,2249.98,4-2-2023
Mango Safeda,kg,125.51,24.7,3100.097,4-2-2023
Tomato Himsona,kg,26,25,650,4-2-2023
Tenchi Pear,kg,203.13,12.8,2600.064,4-2-2023
Imported Babugosha,kg,199.22,12.8,2550.016,4-2-2023
Thai Guava,kg,80,10,800,4-2-2023
Apple Washington,kg,320,10,3200,4-2-2023
Round Gourd,kg,28,5,140,4-2-2023
Kakdi,kg,55,10,550,4-2-2023
Bobby Melon,kg,84.97,15.3,1300.041,4-2-2023
Blueberry Jumbo,box,187.5,12,2250,4-2-2023
Pineapple Rani,pc,95,20,1900,4-2-2023
Local Guava,kg,80,25,2000,4-2-2023
Zimi Kand,kg,60,10,600,4-2-2023
Baby Onion,kg,35,10,350,4-2-2023
South Pear,kg,193.8,12.9,2500.02,4-2-2023
Kundru,kg,50,5,250,4-2-2023
Mango Perri,kg,171.88,6.4,1100.032,4-2-2023
Chappan Kaddu,kg,40,5,200,4-2-2023
THAI GUAVA PINK,kg,145,10,1450,4-2-2023
CHOLIYA,kg,170,3,510,4-2-2023
KAJRI MELON,kg,32.58,17.8,579.924,4-2-2023
Dairy Naturals Cow Milk,pkt,31.5,4,126,4-2-2023
Doozy Cow Desi Ghee 500Ml,jar,490,4,1960,4-2-2023
Doozy Dahi,jar,43,6,258,4-2-2023
Doozy Desi Cow Milk,pkt,42.5,8,340,4-2-2023
Doozy Farms Paneer,pkt,75,12,900,4-2-2023
Dairy Naturals Cow Milk,pkt,31.5,6,189,4-2-2023
Doozy Desi Cow Milk,pkt,42.5,5,212.5,4-2-2023
Doozy Farms Paneer,pkt,75,6,450,4-2-2023
Happy Banana,kg,62,15,930,4-2-2023
Happy Banana,kg,62,15,0,4-2-2023
Happy Banana,kg,62,15,930,4-2-2023
Happy Banana,kg,62,15,930,4-3-2023
Happy Banana,kg,62,15,930,4-3-2023
Epigamia Greek Yogurt Natural,box,167.62,6,1056.01,4-3-2023
Carrot,kg,35,10,350,4-3-2023
Green Peas,kg,90,5,450,4-3-2023
Avocado,pc,182.81,32,5849.92,4-3-2023
Papaya,kg,40,10,400,4-3-2023
Beans French,kg,50,7,350,4-3-2023
Brinjal Black Big,kg,25,10,250,4-3-2023
Cauliflower,kg,16.67,12,200.04,4-3-2023
Mint,pkt,50,2,100,4-3-2023
Mushroom,box,28.91,55,1590.05,4-3-2023
Iceberg,kg,60,2,120,4-3-2023
Blueberry,box,187.5,12,2250,4-3-2023
Apple Pink Lady,kg,180,10,1800,4-3-2023
Radish White,kg,24,5,120,4-3-2023
Sprouts Chana,box,20,5,100,4-3-2023
Cucumber White,kg,30,10,300,4-3-2023
Thai Ginger,kg,372.09,0.86,319.9974,4-3-2023
Sprouts Greengram,box,20,5,100,4-3-2023
Bottle Gourd,kg,30,5,150,4-3-2023
Coriander,kg,20,5,100,4-3-2023
Leeks,kg,150,1,150,4-3-2023
Tomato Red Cherry,box,120,1,120,4-3-2023
Cabbage Chinese,kg,120,1,120,4-3-2023
Tomato Local,kg,22,75,1650,4-3-2023
Pumpkin,kg,12,10,120,4-3-2023
Zucchini Green,kg,30,5,150,4-3-2023
Mosambi,kg,44.27,19.2,849.984,4-3-2023
Palak,kg,20,10,200,4-3-2023
Mango Alphanso 6Pc,pc,91.67,6,550.02,4-3-2023
Tomato Himsona,kg,28,25,700,4-3-2023
Sweetcorn,kg,20,10,200,4-3-2023
Kakdi,kg,50,5,250,4-3-2023
Pineapple Raja,pc,70.83,12,849.96,4-3-2023
Mushroom Loose,kg,130,10,1300,4-3-2023
AMERICAN CORN FROZEN,pkt,75,10,750,4-3-2023
GREEN PEAS FROZEN,kg,70,10,700,4-3-2023
Bee Cause Ginger Honey 250Gm,jar,163,12,0,4-3-2023
Bee Cause Honey 1Kg,jar,380,12,0,4-3-2023
Bee Cause Multi Raw Gold Honey 330Gm,jar,164,24,0,4-3-2023
Bee Cause Multi Raw Gold Honey 500Gm,jar,234,24,0,4-3-2023
Dairy Naturals Cow Milk,pkt,31.5,3,94.5,4-4-2023
Doozy Dahi,jar,43,3,129,4-4-2023
Doozy Desi Cow Milk,pkt,42.5,3,127.5,4-4-2023
Dairy Naturals Cow Milk,pkt,31.5,6,189,4-4-2023
Doozy Desi Cow Milk,pkt,42.5,6,255,4-4-2023
Doozy Farms Paneer,pkt,75,6,450,4-4-2023
Basil,box,24,6.41,153.84,4-4-2023
Broccoli,kg,60,5,300,4-4-2023
Celery,kg,50,5.5,275,4-4-2023
Iceberg,kg,50,4,200,4-4-2023
Lettuce Lolorosa Red,kg,60,3,180,4-4-2023
Parsley,box,15,20,300,4-4-2023
Tomato Red Cherry,box,10,12,120,4-4-2023
Hydroponic Bok Choy,kg,200,2,400,4-4-2023
Hydroponic Green Lettuce,kg,250,2,500,4-4-2023
Hydroponic Parsley,kg,750,1,750,4-4-2023
Hydroponic Red Lettuce,kg,250,2,500,4-4-2023
Hydroponic Tomato,kg,50,32,1600,4-4-2023
Hydroponic Tomato Cherry,box,62.5,8,500,4-4-2023
Hydroponic Yellow Candy,box,62.5,8,500,4-4-2023
Sapota,kg,61.11,9,549.99,4-4-2023
Carrot,kg,34,15,510,4-4-2023
Amla,kg,70,5,350,4-4-2023
Green Peas,kg,70,10,700,4-4-2023
Broccoli,kg,50,10,500,4-4-2023
Ridge Gourd,kg,90,10,900,4-4-2023
Avocado,pc,196.67,18,3540.06,4-4-2023
Papaya,kg,40,10,400,4-4-2023
Chilli Green,kg,40,5,200,4-4-2023
Beans French,kg,50,10,500,4-4-2023
Rosemary,box,40,5,200,4-4-2023
Cauliflower,kg,17.5,20,350,4-4-2023
Mint,pkt,60,2,120,4-4-2023
Mushroom,box,30,35,1050,4-4-2023
Thyme,box,40,5,200,4-4-2023
Thomson Grapes,kg,101.46,9.4,953.724,4-4-2023
Spring Onion,kg,40,5,200,4-4-2023
Capsicum Green,kg,40,5,200,4-4-2023
Iceberg,kg,46.88,3.2,150.016,4-4-2023
Apple Pink Lady,kg,194.74,19,3700.06,4-4-2023
Radish White,kg,25,10,250,4-4-2023
Cucumber White,kg,24.67,15,370.05,4-4-2023
Babycorn,packet,28,5,140,4-4-2023
Bottle Gourd,kg,30,5,150,4-4-2023
Coriander,kg,24,5,120,4-4-2023
Carrot Delhi,kg,20,10,200,4-4-2023
Bhindi,kg,120,15,1800,4-4-2023
Tinda,kg,90,10,900,4-4-2023
Tomato Local,kg,24,25,600,4-4-2023
Apple Chinese Fuji,kg,275,20,5500,4-4-2023
Pumpkin,kg,14,10,140,4-4-2023
Palak,kg,20,10,200,4-4-2023
Orange-Local,kg,116,25,2900,4-4-2023
Bitter Gourd,kg,80,5,400,4-4-2023
Lemon,kg,150,12,1800,4-4-2023
Tendor Coconut,pc,45,60,2700,4-4-2023
Mango Safeda,kg,130.97,26.8,3509.996,4-4-2023
Tomato Himsona,kg,26.21,24.8,650.008,4-4-2023
Kakdi,kg,50,10,500,4-4-2023
Bobby Melon,kg,66.67,18,1200.06,4-4-2023
Pineapple Rani,pc,90,10,900,4-4-2023
White Petha,kg,40,25,1000,4-4-2023
Romaine Lettuce,kg,200,1,200,4-4-2023
Mango Perri,kg,201.92,5.2,1049.984,4-4-2023
Black Grapes,kg,114.13,9.2,1049.996,4-4-2023
Chappan Kaddu,kg,40,10,400,4-4-2023
Newzeeland Rose Apple,kg,211.11,18,3799.98,4-4-2023
CHOLIYA,kg,200,2,400,4-4-2023
KAJRI MELON,kg,32,20,640,4-4-2023
Brinjal Black Big,kg,20,25,0,4-5-2023
Capsicum Green,kg,25,30,0,4-5-2023
Capsicum Red,kg,100,35,0,4-5-2023
Capsicum Yellow,kg,100,15,0,4-5-2023
Cauliflower,kg,18,30,0,4-5-2023
Strawberry Fresh,box,50,50,0,4-5-2023
Ld Belgian Chocolate Stick-110Ml,packet,94.94,12,1344.35,4-5-2023
Ld Berries N Cream Stick 100Ml,pkt,94.94,12,1344.35,4-5-2023
Ld Browine -500Ml,box,372.9,2,880.04,4-5-2023
Ld Choco Hazelnut,box,372.9,2,880.04,4-5-2023
Ld Chocolate Lite  -500Ml,box,372.9,2,880.04,4-5-2023
Ld Coconutello -500Ml,box,372.9,2,880.04,4-5-2023
Ld Cookies &amp; Cream -500Ml,box,372.9,2,880.04,4-5-2023
Ld Hazalnut Stick -110Ml,packet,94.92,12,1344.07,4-5-2023
Ld Kulfi -500Ml,box,339,2,800.04,4-5-2023
Ld Premium Vanilla -125Ml,box,101.7,12,1440.07,4-5-2023
Ld Premium Vanilla -500Ml,box,372.9,2,880.04,4-5-2023
Ld Simply Strawberry 500Ml,box,372.9,2,880.04,4-5-2023
Ld Tiramishu -500Ml,box,372.9,2,880.04,4-5-2023
Carrot,kg,25.33,15,379.95,4-5-2023
Green Peas,kg,70,20,1400,4-5-2023
Broccoli,kg,50,10,500,4-5-2023
Ridge Gourd,kg,80,10,800,4-5-2023
Potato Baby,kg,25,10,250,4-5-2023
Avocado,pc,174,32,5568,4-5-2023
Papaya,kg,38.89,18,700.02,4-5-2023
Beans French,kg,40,6,240,4-5-2023
Brinjal Black Big,kg,24,5,120,4-5-2023
Potato,kg,7.16,225,1611,4-5-2023
Cauliflower,kg,16,10,160,4-5-2023
Mint,pkt,60,1,60,4-5-2023
Dragon Fruit,pc,87.5,20,1750,4-5-2023
Mushroom,box,30,35,1050,4-5-2023
Capsicum Green,kg,30,20,600,4-5-2023
Onion,kg,15.71,105,1649.55,4-5-2023
Iceberg,kg,60,2,120,4-5-2023
Arbi,kg,50,10,500,4-5-2023
Radish White,kg,20,5,100,4-5-2023
Cabbage Green,kg,9,10,90,4-5-2023
Cucumber White,kg,24,15,360,4-5-2023
Beet Root,kg,15,10,150,4-5-2023
Sprouts Greengram,box,16,5,80,4-5-2023
Water Melon Red,kg,16.02,51.2,820.224,4-5-2023
Bottle Gourd,kg,24,5,120,4-5-2023
Pomegranate,kg,155.32,23.5,3650.02,4-5-2023
Coriander,kg,20,5,100,4-5-2023
Carrot Delhi,kg,20,5,100,4-5-2023
Asparagus,kg,900,2,1800,4-5-2023
Tinda,kg,100,5,500,4-5-2023
Apple Chinese Fuji,kg,270,10,2700,4-5-2023
Apple Red Delicious,kg,200,18,3600,4-5-2023
Palak,kg,20,10,200,4-5-2023
Lemon,kg,120,10,1200,4-5-2023
Tendor Coconut,pc,42.5,20,850,4-5-2023
Mango Safeda,kg,120.83,12,1449.96,4-5-2023
Mango Alphanso 1Pc,pc,87.5,24,2100,4-5-2023
Sun Melon,kg,88.89,9,800.01,4-5-2023
Tomato Himsona,kg,24,25,600,4-5-2023
Blueberry Jumbo,box,183.33,12,2199.96,4-5-2023
Baby Onion,kg,30,10,300,4-5-2023
Kiwi Local,pc,18.33,30,549.9,4-5-2023
Mango Perri,kg,177.42,6.2,1100.004,4-5-2023
Chappan Kaddu,kg,40,5,200,4-5-2023
Hydroponic Bok Choy,kg,120,1,120,4-5-2023
Dairy Naturals Cow Milk,pkt,31.5,6,189,4-5-2023
Doozy Desi Cow Milk,pkt,42.5,6,255,4-5-2023
Doozy Farms Paneer,pkt,75,6,450,4-5-2023
Happy Banana,kg,62,15,930,4-5-2023
Brown Bread,Slice,7.142,14,99.988,4-5-2023
EPIGAMIA GREEK YOGURT BANANA 110GM,jar,60.95,4,255.99,4-5-2023
Epigamia Greek Yogurt Blueberry 90Gm,box,41.9,4,196.09,4-5-2023
Epigamia Greek Yogurt Gy Mixed Berries,box,60.95,4,255.99,4-5-2023
Epigamia Greek Yogurt Mango 90Gm,box,41.9,4,175.98,4-5-2023
Epigamia Greek Yogurt Natural 90Gms,box,41.9,3,131.99,4-5-2023
Epigamia Greek Yogurt Smoothie Alphonso Mango,btl,60.95,4,255.99,4-5-2023
Epigamia Greek Yogurt Strawberry Smoothie,btl,60.95,4,255.99,4-5-2023
Epigamia Greek Yogurt Strawberry Zero Sugar,box,60.95,8,511.98,4-5-2023
Epigamia Greek Yogurt Vanilla Bean 90Gms,box,41.9,4,175.98,4-5-2023
Happy Banana,kg,62,15,930,4-5-2023
Dairy Naturals Cow Milk,pkt,31.5,3,94.5,4-5-2023
Doozy Dahi,jar,43,3,129,4-5-2023
Doozy Desi Cow Milk,pkt,42.5,3,127.5,4-5-2023
Doozy Farms Paneer,pkt,75,11,825,4-5-2023
Happy Banana,kg,62,15,930,4-6-2023
Dairy Naturals Cow Milk,pkt,31.5,6,189,4-6-2023
Doozy Desi Cow Milk,pkt,42.5,6,255,4-6-2023
Doozy Farms Paneer,pkt,75,6,450,4-6-2023
Dairy Naturals Cow Milk,pkt,31.5,3,94.5,4-6-2023
Doozy Dahi,jar,43,5,215,4-6-2023
Doozy Desi Cow Milk,pkt,42.5,6,255,4-6-2023
Happy Banana,kg,62,15,930,4-6-2023
Amiksa Smoked Cheese,kg,1350,0.61,823.5,4-6-2023
Amiksa Fontina,kg,1125,0.636,715.5,4-6-2023
Amiksa Creamy Cheese,kg,900,2.14,2157.12,4-6-2023
Amiksa Borsalino Cheese,kg,900,2.534,2554.272,4-6-2023
Amiksa Borsalinuts,kg,1050,2.422,2543.1,4-6-2023
Amiksa Feta Cheese,kg,975,3.054,3334.968,4-6-2023
Brown Bread,Slice,7.142,14,99.988,4-6-2023
Carrot,kg,34,15,510,4-6-2023
Amla,kg,60,5,300,4-6-2023
Green Peas,kg,75,20,1500,4-6-2023
Broccoli,kg,60,10,600,4-6-2023
Ridge Gourd,kg,100,5,500,4-6-2023
Avocado,pc,179.52,42,7539.84,4-6-2023
Papaya,kg,40,10,400,4-6-2023
Chilli Green,kg,40,5,200,4-6-2023
Brinjal Black Big,kg,30,10,300,4-6-2023
Brinjal Black Round,kg,40,10,400,4-6-2023
Potato,kg,7,50,350,4-6-2023
Zuchchini Yellow,kg,50,3,150,4-6-2023
Sweet Potato,kg,80,10,800,4-6-2023
Cauliflower,kg,16,5,80,4-6-2023
Mint,pkt,40,2,80,4-6-2023
Mushroom,box,25.56,90,2300.4,4-6-2023
Thomson Grapes,kg,110.53,9.5,1050.035,4-6-2023
Capsicum Green,kg,30,20,600,4-6-2023
Onion,kg,9.8,102,999.6,4-6-2023
Iceberg,kg,60,5,300,4-6-2023
Peeled Garlic,kg,85,10,850,4-6-2023
Parwal,kg,80,10,800,4-6-2023
Sprouts Chana,box,16,10,160,4-6-2023
Cucumber White,kg,24,10,240,4-6-2023
Apple Granny Smith,kg,236.11,18,4249.98,4-6-2023
Beet Root,kg,16,5,80,4-6-2023
Water Melon Red,kg,15,32,480,4-6-2023
Bottle Gourd,kg,28,10,280,4-6-2023
Pomegranate,kg,146.34,12.3,1799.982,4-6-2023
Kiwi Imported Zespri Green,box,158.33,6,949.98,4-6-2023
Coriander,kg,20,5,100,4-6-2023
Bhindi,kg,120,8,960,4-6-2023
Tomato Local,kg,22,75,1650,4-6-2023
Orange Valencia,kg,98.59,14.2,1399.978,4-6-2023
Apple Chinese Fuji,kg,270,10,2700,4-6-2023
Pumpkin,kg,10,10,100,4-6-2023
Zucchini Green,kg,30,5,150,4-6-2023
Ginger,kg,124.12,17,2110.04,4-6-2023
Mosambi,kg,57.29,19.2,1099.968,4-6-2023
Palak,kg,15,10,150,4-6-2023
Bitter Gourd,kg,60,10,600,4-6-2023
Lemon,kg,140,15,2100,4-6-2023
Tendor Coconut,pc,46.25,80,3700,4-6-2023
Mini Orange,kg,176.92,13,2299.96,4-6-2023
Mango Safeda,kg,120,14,1680,4-6-2023
Sun Melon,kg,78.26,11.5,899.99,4-6-2023
Tenchi Pear,kg,203.7,13.5,2749.95,4-6-2023
Watermelon Jannat,kg,35,86,3010,4-6-2023
Apple Washington,kg,325,10,3250,4-6-2023
Round Gourd,kg,30,10,300,4-6-2023
Kakdi,kg,50,5,250,4-6-2023
Blueberry Jumbo,box,195.83,12,2349.96,4-6-2023
Pineapple Rani,pc,90,20,1800,4-6-2023
Jacks Fruit,kg,50,6,300,4-6-2023
Red Potato,kg,7.14,105,749.7,4-6-2023
Kundru,kg,70,5,350,4-6-2023
Kiwi Local,pc,18.33,30,549.9,4-6-2023
Kimia Gold Dates,box,137.5,12,1650,4-6-2023
Chappan Kaddu,kg,40,5,200,4-6-2023
Mushroom Loose,kg,80,10,800,4-6-2023
CHOLIYA,kg,200,3,600,4-6-2023
Sapota,kg,50,9,450,4-7-2023
Carrot,kg,32,10,320,4-7-2023
Green Peas,kg,80,10,800,4-7-2023
Ridge Gourd,kg,100,5,500,4-7-2023
Avocado,pc,159.07,43,6840.01,4-7-2023
Papaya,kg,39.25,10.7,419.975,4-7-2023
Apple Royal Gala,kg,205.56,18,3700.08,4-7-2023
Beans French,kg,40,10,400,4-7-2023
Potato,kg,7.88,165,1300.2,4-7-2023
Red Globe,kg,314.52,6.2,1950.024,4-7-2023
Mint,pkt,30,1,30,4-7-2023
Dragon Fruit,pc,86.11,18,1549.98,4-7-2023
Lettuce,kg,60,1,60,4-7-2023
Mushroom,box,26.25,40,1050,4-7-2023
Capsicum Green,kg,30,10,300,4-7-2023
Cabbage Green,kg,8,10,80,4-7-2023
Cucumber White,kg,24,20,480,4-7-2023
Sprouts Greengram,box,16,5,80,4-7-2023
Bottle Gourd,kg,30,5,150,4-7-2023
Pomegranate,kg,146.03,12.6,1839.978,4-7-2023
Coriander,kg,22.5,4,90,4-7-2023
Bhindi,kg,120,5,600,4-7-2023
Asparagus,kg,900,2,1800,4-7-2023
Tomato Local,kg,21.33,75,1599.75,4-7-2023
Apple Chinese Fuji,kg,270,10,2700,4-7-2023
Pumpkin,kg,12,5,60,4-7-2023
Palak,kg,15,5,75,4-7-2023
Orange-Local,kg,104,25,2600,4-7-2023
Bitter Gourd,kg,60,5,300,4-7-2023
Lemon,kg,130,15,1950,4-7-2023
Tendor Coconut,pc,41.67,60,2500.2,4-7-2023
Thai Guava,kg,80,10,800,4-7-2023
Kakdi,kg,40,10,400,4-7-2023
Bobby Melon,kg,66.67,18,1200.06,4-7-2023
Blueberry Jumbo,box,162.5,12,1950,4-7-2023
Jacks Fruit,kg,60,7,420,4-7-2023
South Pear,kg,208.33,13.2,2749.956,4-7-2023
Mango Perri,kg,193.55,6.2,1200.01,4-7-2023
Garlic Big,kg,120,10,1200,4-7-2023
Newzeeland Queen Apple,kg,235.14,18.5,4350.09,4-7-2023
Hydroponic Romaine Lettuce,kg,70,1,70,4-7-2023
LEMON GREEN,kg,130,1,130,4-7-2023
DRAGON FRUIT PINK,pc,105,40,4200,4-7-2023
KAJRI MELON,kg,32,21,672,4-7-2023
Happy Banana,kg,62,15,930,4-7-2023
Dairy Naturals Cow Milk,pkt,31.5,6,189,4-7-2023
Doozy Desi Cow Milk,pkt,42.5,6,255,4-7-2023
Doozy Farms Paneer,pkt,75,6,450,4-7-2023
Happy Banana,kg,62,15,930,4-7-2023
Dairy Naturals Cow Milk,pkt,31.5,6,189,4-7-2023
Doozy Desi Cow Milk,pkt,42.5,6,255,4-7-2023
Basil,box,24,45,1080,4-7-2023
Iceberg,kg,45,20,900,4-7-2023
Lettuce,kg,35,10,350,4-7-2023
Celery,kg,60,2,120,4-7-2023
Iceberg,kg,70,13,910,4-7-2023
Leeks,kg,100,5,500,4-7-2023
Lemongrass,kg,150,1,150,4-7-2023
Lettuce,kg,50,3,150,4-7-2023
Rocket Leaf,box,20,10,200,4-7-2023
Rosemary,box,20,35,700,4-7-2023
Thyme,box,20,35,700,4-7-2023
Tomato Red Cherry,box,10,28,280,4-7-2023
Sapota,kg,61.11,9,549.99,4-10-2023
Carrot,kg,30,20,600,4-10-2023
Amla,kg,80,3,240,4-10-2023
Green Peas,kg,90,10,900,4-10-2023
Broccoli,kg,80,15,1200,4-10-2023
Ridge Gourd,kg,90,10,900,4-10-2023
Avocado,pc,161.63,43,6950.09,4-10-2023
Papaya,kg,40,25,1000,4-10-2023
Parsley,box,150,1,150,4-10-2023
Beans French,kg,40,10,400,4-10-2023
Brinjal Black Round,kg,30,15,450,4-10-2023
Potato,kg,6.85,168,1150.8,4-10-2023
Cauliflower,kg,20,30,600,4-10-2023
Mint,pkt,40,2,80,4-10-2023
Lettuce,kg,45,4,180,4-10-2023
Mushroom,box,32,25,800,4-10-2023
Thomson Grapes,kg,102.15,9.3,949.995,4-10-2023
Capsicum Green,kg,25,20,500,4-10-2023
Onion,kg,16.06,109,1750.54,4-10-2023
Iceberg,kg,60,4,240,4-10-2023
Celery,kg,80,3,240,4-10-2023
Radish White,kg,30,15,450,4-10-2023
Cucumber White,kg,25,20,500,4-10-2023
Beet Root,kg,16,5,80,4-10-2023
Sprouts Greengram,box,15,10,150,4-10-2023
Onion White,kg,110,10,1100,4-10-2023
Bottle Gourd,kg,24,20,480,4-10-2023
Pomegranate,kg,148.15,24.3,3600.045,4-10-2023
Coriander,kg,15,4,60,4-10-2023
Strawberry Fresh,box,37.5,8,300,4-10-2023
Carrot Delhi,kg,15,20,300,4-10-2023
Bhindi,kg,82.5,20,1650,4-10-2023
Asparagus,kg,800,3,2400,4-10-2023
Capsicum Red,kg,100,10,1000,4-10-2023
Tomato Local,kg,22,50,1100,4-10-2023
